slug,ubc_page_title,found_title,ubc_author,pub_year,ubc_description,ol_title,ol_author,ol_isbn,ol_cover,source_url
filling-buckets-childrens-books-teaching-kindness,Filling buckets: Children’s books for teaching kindness,Filling buckets,,,,,,,,https://www.selresources.com/sel/filling-buckets-childrens-books-teaching-kindness/
help-students-behavioral-challenges,How do we help students with behavioral challenges?,How do we help students with behavioral challenges?,,,,,,,,https://www.selresources.com/sel/help-students-behavioral-challenges/
techniques-building-emotional-intelligence-linda-lantieri,Techniques for building emotional intelligence,Techniques for building emotional intelligence,Linda Lantieri,2008,"Building Emotional Intelligence: Techniques to Cultivate Inner Strength in Children, written by Linda Lantieri and Daniel Goleman in 2008, provides parents, teachers, and caregivers with practical, easy-to-follow activities for teaching children how to calm the body and focus the mind. Accompanied b",Building emotional intelligence,Linda Lantieri,9781591797890,https://covers.openlibrary.org/b/id/7394129-M.jpg,https://www.selresources.com/sel/techniques-building-emotional-intelligence-linda-lantieri/
helping-behaviourally-challenging-students,Helping behaviourally challenging students,Helping behaviourally challenging students,,,,,,,,https://www.selresources.com/sel/helping-behaviourally-challenging-students/
handle-explosive-kids,How do you handle explosive kids?,How do you handle explosive kids?,,,,,,,,https://www.selresources.com/sel/handle-explosive-kids/
childrens-book-ripples-kind-unkind,"A children’s book about the ripples of being kind, and unkind","A children’s book about the ripples of being kind, and unkind",,,"Each Kindness, written by Jacqueline Woodson, is a story about a girl named Chloe who reacts unkindly when a new girl, Maya, arrives at her school and tries to make friends. Chloe excludes her from group games, and does not make Maya feel welcome at all. Maya eventually leaves, and the story ends wi",,,,,https://www.selresources.com/sel/childrens-book-ripples-kind-unkind/
childrens-story-tree-boy-kind,"Children’s book about how first impressions could be misleading, even for ‘sworn enemies’!","Children’s book about how first impressions could be misleading, even for ‘sworn enemies’!",,,"Enemy Pie, written by Derek Munson, is about a boy who is having trouble with a new neighbor, Jeremy Ross, who excludes him from birthday parties and laughs at him when he makes mistakes in baseball. His father comes up with a plan for getting rid of enemies- making enemy pie. But the boys have to [",,,,,https://www.selresources.com/sel/childrens-story-tree-boy-kind/
childrens-book-hard-kind-can-sometimes,A children’s book about how hard being kind can sometimes be,A children’s book about how hard being kind can sometimes be,,,"Those Shoes, written by Maribeth Boelts, is a story about Jeremy, who really wants a pair of “cool shoes” like the other kids have, but his family cannot afford them. One day, he finds them in a thrift shop and even though they are too tight on him, he buys them anyway. He faces a tough [...]",,,,,https://www.selresources.com/sel/childrens-book-hard-kind-can-sometimes/
self-help-guides-kids-overcoming-difficult-emotions,Self,Self,,,"The What to Do When … book series, written by Dawn Huebner, provides children and their parents with easy-to-read information and activities to overcome their problems. Based on cognitive-behavioral techniques, the books include metaphors and illustrations that offer new perspectives on life&#8217;s",,,,,https://www.selresources.com/sel/self-help-guides-kids-overcoming-difficult-emotions/
building-feelings-vocabulary-toddlers,Building a feelings vocabulary for toddlers,Building a feelings vocabulary for toddlers,,,"The &#8220;Feeling for Little Children&#8221; Series, written by Elizabeth Crary & Shari Steelsmith, teaches toddlers about feelings using song and pictures. Each book is about a specific feeling (Mad, Happy, Silly and Shy), and contains rhymes that teach emotion words, and the actions associated wi",,,,,https://www.selresources.com/sel/building-feelings-vocabulary-toddlers/
teaching-children-social-problem-solving-using-choose-ending-books,Teaching children social problem solving using choose,Teaching children social problem solving using choose,,,"The &#8220;Children&#8217;s Problem Solving&#8221; series, written by Elizabeth Crary,  is designed to teach preschool and early elementary school children problem-solving skills. Each book is about a specific social problem that most children can identify with, such as the frustration of waiting fo",,,,,https://www.selresources.com/sel/teaching-children-social-problem-solving-using-choose-ending-books/
choose-ending-books-feelings,Choose,Choose,,,"The &#8220;Dealing with Feelings&#8221; series, written by Elizabeth Crary, is about feelings (and the situations that provoke them) that many children can identify with. While each book acknowledges a feeling, the format allows children to explore different typical behavioral responses to such feel",,,,,https://www.selresources.com/sel/choose-ending-books-feelings/
picture-book-teaches-friendship-social-aggression-using-colors-numbers,"A picture book that teaches about friendship and social aggression, using colors and numbers","A picture book that teaches about friendship and social aggression, using colors and numbers",,,"&#8220;Two&#8221;, written by award winning author Kathryn Otoshi, is a beautifully simple, character-building children’s picture book about friendship, letting-go, self-discovery and growth. In her signature style using colors and numbers, this book tells the story of One and Two who were best frie",,,,,https://www.selresources.com/sel/picture-book-teaches-friendship-social-aggression-using-colors-numbers/
book-cultivating-mindfulness-children,A book for cultivating mindfulness in children,A book for cultivating mindfulness in children,,,"The Mindful Child, written by Susan Kaiser Greenland, provides adults with practical, easy-to-follow techniques and tools for teaching children about mindfulness, and cultivating mindfulness practices. Positively reviewed by leading thinkers and researchers in the field of mindfulness, this book int",,,,,https://www.selresources.com/sel/book-cultivating-mindfulness-children/
using-colors-and-numbers-to-teach-kids-to-stand-up-for-themselves-and-others-a-picture-book,Using colors and numbers to teach kids to stand up for themselves and others: A picture book,Using colors and numbers to teach kids to stand up for themselves and others,,,,,,,,https://www.selresources.com/sel/using-colors-and-numbers-to-teach-kids-to-stand-up-for-themselves-and-others-a-picture-book/
teaching-perspective-taking-through-the-eyes-of-an-ant-a-childs-picture-book,Teaching perspective,Teaching perspective,Phillip M,,"A charming, brightly illustrated children’s picture book, authored by Phillip M. Hoose & Hannah Hoose and illustrated by Debbie Tilley in 1998,  that stimulates learning of perspective-taking, empathy, tolerance and respect for diversity. A boy meets an ant and is about to squish it, but the ant urg",,,,,https://www.selresources.com/sel/teaching-perspective-taking-through-the-eyes-of-an-ant-a-childs-picture-book/
tools-to-create-an-atmosphere-of-non-violence-at-home-and-school,A Manual on Nonviolence and Children,A Manual on Nonviolence and Children,Stephanie Judson,1977,,A Manual on Nonviolence and Children,Stephanie Judson,9780865710368,https://covers.openlibrary.org/b/id/9263697-M.jpg,https://www.selresources.com/sel/tools-to-create-an-atmosphere-of-non-violence-at-home-and-school/
a-story-book-on-the-meaning-of-mindfulness,"Mindful Monkey, Happy Panda","Mindful Monkey, Happy Panda",Lauren Alderfer,2011,,"Mindful Monkey, Happy Panda",Lauren Alderfer,9780861716838,https://covers.openlibrary.org/b/id/12990419-M.jpg,https://www.selresources.com/sel/a-story-book-on-the-meaning-of-mindfulness/
mindfulness-exercises-for-parents-and-their-children,Sitting Still Like a Frog,Sitting Still Like a Frog,Eline Snel,2013,,Sitting still like a frog,Eline Snel,9781611800586,https://covers.openlibrary.org/b/id/12897973-M.jpg,https://www.selresources.com/sel/mindfulness-exercises-for-parents-and-their-children/
a-how-to-manual-of-mindfulness-practices-for-teens,The Mindful Teen,The Mindful Teen,,,,,,,,https://www.selresources.com/sel/a-how-to-manual-of-mindfulness-practices-for-teens/
transform-anger-into-connections-through-non-violent-communication,What’s Making You Angry?,What’s Making You Angry?,"Shari Klein, Neill Gibson",2004,,What's Making You Angry?,"Shari Klein, Neill Gibson",9781892005137,https://covers.openlibrary.org/b/id/940697-M.jpg,https://www.selresources.com/sel/transform-anger-into-connections-through-non-violent-communication/
the-golden-rule-for-emotionally-intelligent-parenting,Emotionally Intelligent Parenting,Emotionally Intelligent Parenting,"Maurice J. Elias, Steven E. Tobias",1998,,Emotionally intelligent parenting,"Maurice J. Elias, Steven E. Tobias",9786073116299,https://covers.openlibrary.org/b/id/11312719-M.jpg,https://www.selresources.com/sel/the-golden-rule-for-emotionally-intelligent-parenting/
a-guide-to-emotion-coaching-for-parents,Raising an Emotionally Intelligent Child,Raising an Emotionally Intelligent Child,John Mordechai Gottman,1998,"Published in 1998, this book serves as a guide to teaching children to understand and regulate their emotional world, with benefits of increased self-confidence, greater physical health, better school performance, and healthier social relationships. Written for parents, this book details a five-step",Raising an emotionally intelligent child,John Mordechai Gottman,9780684838656,https://covers.openlibrary.org/b/id/6827548-M.jpg,https://www.selresources.com/sel/a-guide-to-emotion-coaching-for-parents/
